IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(M),地区码,端口
104.18.82.83,4,4,0,38.04,0.00,HKG,443
104.16.44.191,4,4,0,167.53,0.00,SEA,443
172.65.227.185,4,3,25,216.57,0.00,LHR,443
104.25.238.255,4,3,25,195.15,0.00,LAX,443
104.24.131.171,4,4,0,189.18,0.00,LAX,443
190.93.245.212,4,3,25,173.90,0.00,SJC,443
104.24.16.220,4,3,25,179.61,0.00,LAX,443
162.159.33.83,4,3,25,180.51,0.00,HKG,443
104.24.206.122,4,4,0,188.68,0.00,LAX,443
188.114.97.103,4,4,0,189.55,0.00,LAX,443
104.24.243.248,4,4,0,188.78,0.00,LAX,443
103.31.4.245,4,3,25,213.96,0.00,DEN,443
173.245.59.129,4,4,0,191.70,0.00,LAX,443
198.41.209.12,4,3,25,48.01,0.00,HKG,443
104.27.47.219,4,3,25,190.81,0.00,LAX,443
198.41.198.66,4,3,25,192.28,0.00,SJC,443
198.41.223.44,4,3,25,188.24,0.00,LAX,443
104.17.251.52,4,4,0,182.20,0.00,SEA,443
104.19.145.242,4,3,25,59.21,0.00,HKG,443
104.20.11.253,4,4,0,175.40,0.00,LAX,443
173.245.58.20,4,3,25,193.57,0.00,LAX,443
104.24.1.124,4,4,0,183.70,0.00,SJC,443
104.25.227.245,4,3,25,188.62,0.00,LAX,443
104.25.218.42,4,4,0,183.40,0.00,SJC,443
141.101.120.171,4,3,25,192.03,0.00,LAX,443
188.114.98.217,4,4,0,185.81,0.00,SJC,443
162.159.241.58,4,3,25,187.20,0.00,LAX,443
104.16.221.159,4,3,25,172.69,0.00,SJC,443
198.41.222.39,4,3,25,182.01,0.00,LAX,443
173.245.59.130,4,3,25,183.49,0.00,SJC,443
172.64.91.206,4,3,25,188.85,0.00,SJC,443
104.24.223.33,4,4,0,191.42,0.00,LAX,443
104.24.156.204,4,4,0,192.96,0.00,LAX,443
103.31.4.12,4,4,0,199.85,0.00,DEN,443
104.18.63.108,4,4,0,182.08,0.00,SEA,443
104.25.78.44,4,3,25,187.21,0.00,LAX,443
104.17.210.177,4,3,25,39.34,0.00,HKG,443
104.16.189.213,4,4,0,176.81,0.00,SJC,443
104.25.172.108,4,3,25,181.38,0.00,LAX,443
104.24.65.11,4,4,0,189.29,0.00,LAX,443
104.24.43.59,4,4,0,176.14,0.00,LAX,443
172.67.184.184,4,4,0,186.59,0.00,LAX,443
104.21.24.204,4,3,25,172.32,0.00,SEA,443
188.114.98.104,4,3,25,177.81,0.00,SJC,443
104.19.160.141,4,4,0,181.57,0.00,SEA,443
162.159.42.93,4,3,25,195.47,0.00,LAX,443
